Event Title,Date,Location,Status,URL,Date_of_check
Geylang Serai Ramadan Bazaar 2022,02 Apr - 02 May 2022,"1 Geylang Serai, Singapore 402001",ENDED,https://thesmartlocal.com/read/geylang-serai-ramadan-bazaar-2022/,31/03/2024 14:13:10
Hong Kong Tourism Board,05 - 17 Apr 2022,"3 Temasek Boulevard, Suntec City East Atrium Level 1 and 3, Singapore 038983",ENDED,https://thesmartlocal.com/read/hongkong-exhibition-2022/,31/03/2024 14:13:10
New Light On An Old Tale Exhibition,05 Apr - 30 Jun 2022,"1 Canning Rise, National Archives of Singapore, Singapore 179868",ENDED,https://thesmartlocal.com/read/new-light-on-an-old-tale-exhibition/,31/03/2024 14:13:10
Coach X Two Men Bagel House Pop-Up,09 Apr - 08 May 2022,"39 Duxton Hill, Singapore 089616",ENDED,https://thesmartlocal.com/read/coach-bagel-pop-up-2022/,31/03/2024 14:13:10
Seedly Personal Finance Festival 2022,23 - 24 Apr 2022,,ENDED,https://thesmartlocal.com/read/seedly-personal-finance-festival-2022/,31/03/2024 14:13:10
LingoAce,23 - 26 Apr 2022,"LingoAce @ 111 Somerset, #01-47, Singapore 238164",ENDED,https://thesmartlocal.com/read/lingoace-upcycle-storybook/,31/03/2024 14:13:10
Rainbow Connection II,29 Apr - 29 May 2022,,ENDED,https://thesmartlocal.com/read/malay-heritage-centre-rainbow-connection/,31/03/2024 14:13:10
MetaJam Asia,06 May - 31 Jul 2022,,ENDED,https://thesmartlocal.com/read/metajam-asia/,31/03/2024 14:13:10
Let’S Play @ D'Marquee,07 May - 26 Jun 2022,,ENDED,https://thesmartlocal.com/read/lets-play-dmarquee-downtown-east/,31/03/2024 14:13:10
Love @ Chinatown Point,17 May - 26 Jun 2022,Chinatown Point,ENDED,https://thesmartlocal.com/read/chinatown-point-love/,31/03/2024 14:13:10
PUMA Run XX Nitro Experience,27 May - 05 Jun 2022,"Bugis+ 201 Victoria Street, Singapore 188067",ENDED,https://thesmartlocal.com/read/puma-bugis-pop-up/,31/03/2024 14:13:10
Wellness Festival Singapore,03 - 12 Jun 2022,,ENDED,https://thesmartlocal.com/read/wellness-festival-singapore/,31/03/2024 14:13:10
I Light Singapore,03 - 26 Jun 2022,Marina Bay,ENDED,https://thesmartlocal.com/read/i-light-singapore-2022/,31/03/2024 14:13:10
Zentosa Fest 2022,04 - 30 Jun 2022,"Palawan Beach, Sentosa",ENDED,https://thesmartlocal.com/read/sentosa-zentosa-fest-2022/,31/03/2024 14:13:10
"Off / On: Everyday Technology That Changed Our Lives, 1970s – 2000s",10 Jun - 01 Oct 2022,National Museum of Singapore,ENDED,https://thesmartlocal.com/read/national-museum-off-on-exhibit/,31/03/2024 14:13:10
"A Walk In The Forest Of Verbs With ""MUJI IS""",12 Jun - 27 Jul 2022,Japan Creative Centre,ENDED,https://thesmartlocal.com/read/muji-exhibition-singapore/,31/03/2024 14:13:10
Drive-In Movie Screening @ Downtown East,25 Jun 2022,"Downtown East Begonia Open-air Carpark, 1 Pasir Ris Close, Singapore 519599",ENDED,https://thesmartlocal.com/read/downtown-east-drive-in-movie/,31/03/2024 14:13:10
Movies By The Beach,01 Jul - 30 Sep 2022,"Southside Beach, 80 Siloso Road, 098969",ENDED,https://thesmartlocal.com/read/movies-by-the-beach-sentosa/,31/03/2024 14:13:10
SkillsFuture Festival,05 Jul - 14 Aug 2022,Various locations,ENDED,https://thesmartlocal.com/read/skillsfuture-festival-2022/,31/03/2024 14:13:10
Cellarfiesta 2022,12 - 19 Jul 2022,,ENDED,https://thesmartlocal.com/read/cellarbration-cellarfiesta-2022/,31/03/2024 14:13:10
How To Grow Your Wealth In A Turbulent Market,16 Jul 2022,"1 Raffles Boulevard, Suntec Singapore Convention and Exhibition Centre, Hall 406, Singapore 039593",ENDED,https://thesmartlocal.com/read/investing-red-flags/,31/03/2024 14:13:10
The Westin Singapore Wedding Show,23 - 24 Jul 2022,"12 Marina View, Asia Square Tower 2, The Westin Singapore, Singapore 018961",ENDED,https://thesmartlocal.com/read/wedding-planning-singapore/,31/03/2024 14:13:10
Dyson Home Event,25 - 31 Jul 2022,"23 Serangoon Central, NEX, Atrium Level 1, Singapore 556083",ENDED,https://thesmartlocal.com/read/dyson-home-event/,31/03/2024 14:13:10
Fill A Tote,29 - 31 Jul 2022,"Kong Beng Industrial Building, 41 Jalan Pemimpin, Singapore 577186",ENDED,https://thesmartlocal.com/read/books-beyond-borders-sale/,31/03/2024 14:13:10
Patricia Piccinini: We Are Connected,05 Aug 2022 - 29 Jan 2023,"ArtScience Museum, 6 Bayfront Avenue, Singapore 018974",ENDED,https://thesmartlocal.com/read/artscience-museum-patricia-piccinini/,31/03/2024 14:13:10
We Live In An Ocean Of Air,05 Aug - 02 Oct 2022,"6 Bayfront Avenue, ArtScience Museum VR Gallery Level 4, Singapore 018974",ENDED,https://thesmartlocal.com/read/artscience-museum-vr-exhibit/,31/03/2024 14:13:10
